marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_response_window_close__v=1__trial=-12__condition=go__digit=4__block=-1__phase=practice__practice=1,1296442.859062800,1296442.859293100
dynamic_sart_trial_complete__v=1__trial=-12__condition=go__digit=4__block=-1__phase=practice__practice=1,1296442.859062800,1296442.866676300
dynamic_sart_stimulus_onset__v=1__trial=-13__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296443.317011300,1296443.317136800
dynamic_sart_stimulus_offset__v=1__trial=-13__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296443.590768700,1296443.590929000
dynamic_sart_response_window_close__v=1__trial=-13__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296444.920274800,1296444.920708500
dynamic_sart_trial_complete__v=1__trial=-13__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296444.920274800,1296444.928006400
dynamic_sart_stimulus_onset__v=1__trial=-14__condition=go__digit=6__block=-1__phase=practice__practice=1,1296445.383992300,1296445.384149000
dynamic_sart_stimulus_offset__v=1__trial=-14__condition=go__digit=6__block=-1__phase=practice__practice=1,1296445.658967100,1296445.659185300
dynamic_sart_response_window_close__v=1__trial=-14__condition=go__digit=6__block=-1__phase=practice__practice=1,1296446.982593600,1296446.982782600
dynamic_sart_trial_complete__v=1__trial=-14__condition=go__digit=6__block=-1__phase=practice__practice=1,1296446.982593600,1296446.989506900
dynamic_sart_stimulus_onset__v=1__trial=-15__condition=go__digit=0__block=-1__phase=practice__practice=1,1296447.413549400,1296447.413770300
dynamic_sart_stimulus_offset__v=1__trial=-15__condition=go__digit=0__block=-1__phase=practice__practice=1,1296447.681724300,1296447.681945900
dynamic_sart_response_window_close__v=1__trial=-15__condition=go__digit=0__block=-1__phase=practice__practice=1,1296449.015286500,1296449.015483500
dynamic_sart_trial_complete__v=1__trial=-15__condition=go__digit=0__block=-1__phase=practice__practice=1,1296449.015286500,1296449.022838400
dynamic_sart_stimulus_onset__v=1__trial=-16__condition=go__digit=9__block=-1__phase=practice__practice=1,1296449.469844200,1296449.470053600
dynamic_sart_stimulus_offset__v=1__trial=-16__condition=go__digit=9__block=-1__phase=practice__practice=1,1296449.743169500,1296449.743392000
dynamic_sart_response_window_close__v=1__trial=-16__condition=go__digit=9__block=-1__phase=practice__practice=1,1296451.076876900,1296451.077086900
dynamic_sart_trial_complete__v=1__trial=-16__condition=go__digit=9__block=-1__phase=practice__practice=1,1296451.076876900,1296451.087824400
dynamic_sart_stimulus_onset__v=1__trial=-17__condition=go__digit=2__block=-1__phase=practice__practice=1,1296451.515641900,1296451.516158000
dynamic_sart_stimulus_offset__v=1__trial=-17__condition=go__digit=2__block=-1__phase=practice__practice=1,1296451.780112900,1296451.780313900
dynamic_sart_response_window_close__v=1__trial=-17__condition=go__digit=2__block=-1__phase=practice__practice=1,1296453.125045100,1296453.125274300
dynamic_sart_trial_complete__v=1__trial=-17__condition=go__digit=2__block=-1__phase=practice__practice=1,1296453.125045100,1296453.132358600
dynamic_sart_stimulus_onset__v=1__trial=-18__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296453.592813300,1296453.593039900
dynamic_sart_stimulus_offset__v=1__trial=-18__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296453.876325000,1296453.876454600
dynamic_sart_response_window_close__v=1__trial=-18__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296455.202237400,1296455.202484100
dynamic_sart_trial_complete__v=1__trial=-18__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1296455.202237400,1296455.213531300
dynamic_sart_stimulus_onset__v=1__trial=-19__condition=go__digit=1__block=-1__phase=practice__practice=1,1296455.666648400,1296455.666815700
dynamic_sart_stimulus_offset__v=1__trial=-19__condition=go__digit=1__block=-1__phase=practice__practice=1,1296455.947182400,1296455.947398700
dynamic_sart_response_window_close__v=1__trial=-19__condition=go__digit=1__block=-1__phase=practice__practice=1,1296457.263381800,1296457.263575400
dynamic_sart_trial_complete__v=1__trial=-19__condition=go__digit=1__block=-1__phase=practice__practice=1,1296457.263381800,1296457.270593100
dynamic_sart_stimulus_onset__v=1__trial=-20__condition=go__digit=7__block=-1__phase=practice__practice=1,1296457.701387100,1296457.701604200
dynamic_sart_stimulus_offset__v=1__trial=-20__condition=go__digit=7__block=-1__phase=practice__practice=1,1296457.984242300,1296457.984449400
dynamic_sart_response_window_close__v=1__trial=-20__condition=go__digit=7__block=-1__phase=practice__practice=1,1296459.312076700,1296459.312462500
