trial,label,event_type,timestamp,value,metadata
1,go_nogo_stimulus_onset_1_nogo_x_white,EVENT,504006.921,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504006.951977, ""expected_visual_onset_monotonic"": 504006.921, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504006.951977, ""flip_monotonic"": 504006.921, ""is_no_go"": true, ""lsl_timestamp"": 504006.951977, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
1,go_nogo_stimulus_offset_1_nogo_x_white,EVENT,504007.734,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504007.7606466, ""expected_visual_onset_monotonic"": 504007.734, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504007.7606466, ""flip_monotonic"": 504007.734, ""is_no_go"": true, ""lsl_timestamp"": 504007.7606466, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
1,go_nogo_trial_complete,EVENT,504007.734,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 0, ""commission_error"": 0, ""condition"": ""no_go"", ""correct"": true, ""correct_press"": 1, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": true, ""omission_error"": 0, ""practice"": false, ""reaction_time_seconds"": null, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-calibration\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T125304"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504007.7606466, ""stimulus_offset_monotonic"": 504007.734, ""stimulus_onset_lsl_timestamp"": 504006.951977, ""stimulus_onset_monotonic"": 504006.921, ""task"": ""go_nogo""}"
2,go_nogo_stimulus_onset_2_go_square_red,EVENT,504008.453,,"{""color"": ""red"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504008.4835249, ""expected_visual_onset_monotonic"": 504008.453, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504008.4835249, ""flip_monotonic"": 504008.453, ""is_no_go"": false, ""lsl_timestamp"": 504008.4835249, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""square"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
2,button_press,EVENT,504008.83761299995,space,"{""is_response_key"": true, ""lsl_timestamp"": 504008.86813789996, ""marker_push_latency_ms"": 0.0, ""rt_from_flip_seconds"": 0.38461299997288734, ""rt_seconds"": 0.38461299997288734}"
2,go_nogo_stimulus_offset_2_go_square_red,EVENT,504009.281,,"{""color"": ""red"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504009.3020482, ""expected_visual_onset_monotonic"": 504009.281, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504009.3020482, ""flip_monotonic"": 504009.281, ""is_no_go"": false, ""lsl_timestamp"": 504009.3020482, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""square"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
2,go_nogo_trial_complete,EVENT,504009.281,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 1, ""commission_error"": 0, ""condition"": ""go"", ""correct"": true, ""correct_press"": 1, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": false, ""omission_error"": 0, ""practice"": false, ""reaction_time_seconds"": 0.38461299997288734, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-calibration\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T125304"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504009.3020482, ""stimulus_offset_monotonic"": 504009.281, ""stimulus_onset_lsl_timestamp"": 504008.4835249, ""stimulus_onset_monotonic"": 504008.453, ""task"": ""go_nogo""}"
3,go_nogo_stimulus_onset_3_go_triangle_green,EVENT,504010.0,,"{""color"": ""green"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504010.0354053, ""expected_visual_onset_monotonic"": 504010.0, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504010.0354053, ""flip_monotonic"": 504010.0, ""is_no_go"": false, ""lsl_timestamp"": 504010.0354053, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""triangle"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
3,button_press,EVENT,504010.3945191,space,"{""is_response_key"": true, ""lsl_timestamp"": 504010.4299244, ""marker_push_latency_ms"": 0.0, ""rt_from_flip_seconds"": 0.3945191000238992, ""rt_seconds"": 0.3945191000238992}"
3,go_nogo_stimulus_offset_3_go_triangle_green,EVENT,504010.812,,"{""color"": ""green"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504010.843855, ""expected_visual_onset_monotonic"": 504010.812, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504010.843855, ""flip_monotonic"": 504010.812, ""is_no_go"": false, ""lsl_timestamp"": 504010.843855, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""triangle"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
3,go_nogo_trial_complete,EVENT,504010.828,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 1, ""commission_error"": 0, ""condition"": ""go"", ""correct"": true, ""correct_press"": 1, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": false, ""omission_error"": 0, ""practice"": false, ""reaction_time_seconds"": 0.3945191000238992, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-calibration\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T125304"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504010.843855, ""stimulus_offset_monotonic"": 504010.812, ""stimulus_onset_lsl_timestamp"": 504010.0354053, ""stimulus_onset_monotonic"": 504010.0, ""task"": ""go_nogo""}"
4,go_nogo_stimulus_onset_4_nogo_x_white,EVENT,504011.562,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504011.5860952, ""expected_visual_onset_monotonic"": 504011.562, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504011.5860952, ""flip_monotonic"": 504011.562, ""is_no_go"": true, ""lsl_timestamp"": 504011.5860952, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
4,go_nogo_stimulus_offset_4_nogo_x_white,EVENT,504012.359,,"{""color"": ""white"", ""expected_frame_interval_ms"": 16.670639999210835, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504012.3946114, ""expected_visual_onset_monotonic"": 504012.359, ""expected_visual_onset_uncertainty_ms"": 8.335319999605417, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504012.3946114, ""flip_monotonic"": 504012.359, ""is_no_go"": true, ""lsl_timestamp"": 504012.3946114, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 59.98569941210048, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""x"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
4,go_nogo_trial_complete,EVENT,504012.375,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 0, ""commission_error"": 0, ""condition"": ""no_go"", ""correct"": true, ""correct_press"": 1, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": true, ""omission_error"": 0, ""practice"": false, ""reaction_time_seconds"": null, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-calibration\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T125304"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504012.3946114, ""stimulus_offset_monotonic"": 504012.359, ""stimulus_onset_lsl_timestamp"": 504011.5860952, ""stimulus_onset_monotonic"": 504011.562, ""task"": ""go_nogo""}"
