trial,model_id,model_role,model_kind,target,probability_no_go,probability_attention_lapse,canonical_label,canonical_attention_lapse_label,canonical_slow_go_rt,canonical_omission_error,canonical_commission_error,canonical_composite_lapse
11,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,7.768443888733293e-81,0,0,0,0,0,0
11,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.048887706832313284,0,0,0,0,0,0
11,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
11,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.460102330911583,0,0,0,0,0,0
11,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5225660808447288,0,0,0,0,0,0
12,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,2.298304179232026e-268,1,0,0,0,0,0
12,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.18946867330338069,1,0,0,0,0,0
12,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
12,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010190429798253,1,0,0,0,0,0
12,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5479264293635565,1,0,0,0,0,0
13,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,3.6270941375857747e-147,0,0,0,0,0,0
13,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.0681617483752874,0,0,0,0,0,0
13,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
13,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601033878982357,0,0,0,0,0,0
13,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5835478497809068,0,0,0,0,0,0
14,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
14,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.043516270880364485,0,0,0,0,0,0
14,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
14,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601020557644796,0,0,0,0,0,0
14,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5686127197972273,0,0,0,0,0,0
15,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
15,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.1443056783276597,0,0,0,0,0,0
15,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
15,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601022025362251,0,0,0,0,0,0
15,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5450047856904084,0,0,0,0,0,0
16,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0966842710038584e-13,0,0,0,0,0,0
16,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.04320952740906127,0,0,0,0,0,0
16,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
16,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601025041961705,0,0,0,0,0,0
16,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5033625472037503,0,0,0,0,0,0
17,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,2.3317469460927017e-168,1,0,0,0,0,0
17,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.03325451886663021,1,0,0,0,0,0
17,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
17,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601025526076468,1,0,0,0,0,0
17,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5296381223387812,1,0,0,0,0,0
18,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
18,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.046654503393228984,0,0,0,0,0,0
18,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
18,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010205469014703,0,0,0,0,0,0
18,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5351868184274404,0,0,0,0,0,0
19,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,1,0,0,0,0,0
19,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.19531908763111083,1,0,0,0,0,0
19,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
19,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010139298058333,1,0,0,0,0,0
19,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5287978762203164,1,0,0,0,0,0
20,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,1,0,0,0,1,1
20,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.11156749149025137,1,0,0,0,1,1
20,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,1,1
20,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010301300063106,1,0,0,0,1,1
20,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5211241091604206,1,0,0,0,1,1
21,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,1,1,0,0,1
21,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.31545677708866154,0,1,1,0,0,1
21,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,1,1,0,0,1
21,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010255938663935,0,1,1,0,0,1
21,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4860927301518303,0,1,1,0,0,1
22,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,7.956459439374606e-172,1,0,0,0,0,0
22,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.06126821725750202,1,0,0,0,0,0
22,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
22,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601020362288439,1,0,0,0,0,0
22,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5240630132389765,1,0,0,0,0,0
23,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.9405846117409167e-236,0,0,0,1,0,1
23,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.06343918562951646,0,0,0,1,0,1
23,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,1,0,1
23,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601038004329247,0,0,0,1,0,1
23,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5273809925782352,0,0,0,1,0,1
24,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,0.9987971808214565,0,0,0,0,0,0
24,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.035009932996265,0,0,0,0,0,0
24,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
24,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601038645608377,0,0,0,0,0,0
24,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.509635372110066,0,0,0,0,0,0
25,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
25,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.408679132467017,0,0,0,0,0,0
25,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
25,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601024549338407,0,0,0,0,0,0
25,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5048067499814713,0,0,0,0,0,0
26,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
26,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.2519354838363606,0,0,0,0,0,0
26,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
26,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010223631230746,0,0,0,0,0,0
26,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.44994453405346235,0,0,0,0,0,0
27,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
27,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.29009113619709553,0,0,0,0,0,0
27,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
27,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010239635561057,0,0,0,0,0,0
27,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4703422856388814,0,0,0,0,0,0
28,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,1,1,0,0,1
28,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.4026323236768124,0,1,1,0,0,1
28,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,1,1,0,0,1
28,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601029047681435,0,1,1,0,0,1
28,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5117784066632648,0,1,1,0,0,1
29,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
29,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.09029718317770644,0,0,0,0,0,0
29,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
29,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601022857618721,0,0,0,0,0,0
29,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5622419331138846,0,0,0,0,0,0
30,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
30,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.07116215142160655,0,0,0,0,0,0
30,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
30,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010222996153743,0,0,0,0,0,0
30,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4948070826882452,0,0,0,0,0,0
31,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,2.102719170868357e-271,1,0,0,0,0,0
31,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.04669616546961371,1,0,0,0,0,0
31,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
31,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010288184280296,1,0,0,0,0,0
31,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4674518747220279,1,0,0,0,0,0
32,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
32,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.056460131310409535,0,0,0,0,0,0
32,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
32,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010257759936213,0,0,0,0,0,0
32,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5024970208387087,0,0,0,0,0,0
33,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,4.8357759900733295e-198,1,0,0,0,0,0
33,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.055481549662208515,1,0,0,0,0,0
33,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
33,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010337029126497,1,0,0,0,0,0
33,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.47307422779377556,1,0,0,0,0,0
34,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0047717051534244e-214,0,0,0,0,0,0
34,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.12825249101484423,0,0,0,0,0,0
34,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
34,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010326023451736,0,0,0,0,0,0
34,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5064648940496085,0,0,0,0,0,0
35,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,2.1673878848867422e-212,1,0,0,0,1,1
35,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.0849058448836015,1,0,0,0,1,1
35,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,1,1
35,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010300547817284,1,0,0,0,1,1
35,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5653066089347277,1,0,0,0,1,1
36,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,3.957782651773554e-45,0,1,1,0,0,1
36,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.012493509410423261,0,1,1,0,0,1
36,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,1,1,0,0,1
36,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010222444155147,0,1,1,0,0,1
36,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5432465732095173,0,1,1,0,0,1
37,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,4.283193061529397e-150,1,0,0,0,0,0
37,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.10152700383647532,1,0,0,0,0,0
37,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
37,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.460102316233118,1,0,0,0,0,0
37,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5515779303315186,1,0,0,0,0,0
38,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.5797900758071474e-140,0,0,0,0,0,0
38,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.012122875302987142,0,0,0,0,0,0
38,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
38,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601037593896431,0,0,0,0,0,0
38,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5512658821034708,0,0,0,0,0,0
39,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,3.054934578196241e-57,0,0,0,0,0,0
39,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.4023105889444399,0,0,0,0,0,0
39,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
39,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010182831973206,0,0,0,0,0,0
39,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5106424776135176,0,0,0,0,0,0
40,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
40,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.7834628269225896,0,0,0,0,0,0
40,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
40,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601026890965048,0,0,0,0,0,0
40,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5073188903318783,0,0,0,0,0,0
41,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
41,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.5291524973884717,1,0,0,0,0,0
41,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
41,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010228552561533,1,0,0,0,0,0
41,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5383160498551308,1,0,0,0,0,0
42,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,0.0,1,0,0,0,1,1
42,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.02771716345011365,1,0,0,0,1,1
42,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,1,1
42,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601027343248958,1,0,0,0,1,1
42,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5224135604770038,1,0,0,0,1,1
43,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
43,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.21923568151327066,0,0,0,0,0,0
43,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
43,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010180660003874,0,0,0,0,0,0
43,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.48738989498627605,0,0,0,0,0,0
44,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,0.0,0,1,1,0,0,1
44,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.16051796846812869,0,1,1,0,0,1
44,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,1,1,0,0,1
44,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601020761009251,0,1,1,0,0,1
44,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4844584292130227,0,1,1,0,0,1
45,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,1,0,0,0,0,0
45,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.4487236488618347,1,0,0,0,0,0
45,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
45,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601025323089047,1,0,0,0,0,0
45,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.4944123586448455,1,0,0,0,0,0
46,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,1,1,0,0,1
46,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.08462329123855361,0,1,1,0,0,1
46,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,1,1,0,0,1
46,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.46010261458983365,0,1,1,0,0,1
46,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.48809069586394727,0,1,1,0,0,1
47,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.6739620662103208e-169,0,0,0,0,0,0
47,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.1599455764276559,0,0,0,0,0,0
47,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,0,0,0,0,0,0
47,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601041581038728,0,0,0,0,0,0
47,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.5113973112575616,0,0,0,0,0,0
48,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,2.0661250850566127e-70,1,0,0,0,0,0
48,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.09463338826702304,1,0,0,0,0,0
48,shadow-foundation_head_logreg,shadow,foundation_head_logreg,attention_lapse_binary,,0.0,1,0,0,0,0,0
48,shadow-foundation_prototype,shadow,foundation_prototype,attention_lapse_binary,,0.4601028946427049,1,0,0,0,0,0
48,shadow-torch_eegnet,shadow,torch_eegnet,attention_lapse_binary,,0.49970870747732526,1,0,0,0,0,0
49,primary,primary,causal_bandpower_logreg,attention_lapse_binary,,1.0,0,0,0,0,0,0
49,shadow-riemann_tangent_logreg,shadow,riemann_tangent_logreg,attention_lapse_binary,,0.024858810455088233,0,0,0,0,0,0
