marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_response_window_close__v=1__trial=-12__condition=go__digit=0__block=-1__phase=practice__practice=1,1399193.009471200,1399193.009679000
dynamic_sart_trial_complete__v=1__trial=-12__condition=go__digit=0__block=-1__phase=practice__practice=1,1399193.009471200,1399193.015747000
dynamic_sart_stimulus_onset__v=1__trial=-13__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399193.390200500,1399193.390567900
dynamic_sart_stimulus_offset__v=1__trial=-13__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399193.650639300,1399193.650981800
dynamic_sart_response_window_close__v=1__trial=-13__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399195.009250900,1399195.009565200
dynamic_sart_trial_complete__v=1__trial=-13__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399195.009250900,1399195.015963300
dynamic_sart_stimulus_onset__v=1__trial=-14__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399195.409941400,1399195.410653500
dynamic_sart_stimulus_offset__v=1__trial=-14__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399195.664828400,1399195.665036300
dynamic_sart_response_window_close__v=1__trial=-14__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399197.010334400,1399197.010627600
dynamic_sart_trial_complete__v=1__trial=-14__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399197.010334400,1399197.016501000
dynamic_sart_stimulus_onset__v=1__trial=-15__condition=go__digit=6__block=-1__phase=practice__practice=1,1399197.411766300,1399197.412110800
dynamic_sart_stimulus_offset__v=1__trial=-15__condition=go__digit=6__block=-1__phase=practice__practice=1,1399197.665387100,1399197.665718000
dynamic_sart_response_window_close__v=1__trial=-15__condition=go__digit=6__block=-1__phase=practice__practice=1,1399199.006825500,1399199.007075200
dynamic_sart_trial_complete__v=1__trial=-15__condition=go__digit=6__block=-1__phase=practice__practice=1,1399199.006825500,1399199.013271600
dynamic_sart_stimulus_onset__v=1__trial=-16__condition=go__digit=9__block=-1__phase=practice__practice=1,1399199.391264400,1399199.391484500
dynamic_sart_stimulus_offset__v=1__trial=-16__condition=go__digit=9__block=-1__phase=practice__practice=1,1399199.653249700,1399199.653634100
dynamic_sart_response_window_close__v=1__trial=-16__condition=go__digit=9__block=-1__phase=practice__practice=1,1399201.011195400,1399201.011478800
dynamic_sart_trial_complete__v=1__trial=-16__condition=go__digit=9__block=-1__phase=practice__practice=1,1399201.011195400,1399201.018958400
dynamic_sart_stimulus_onset__v=1__trial=-17__condition=go__digit=7__block=-1__phase=practice__practice=1,1399201.420118500,1399201.420476200
dynamic_sart_stimulus_offset__v=1__trial=-17__condition=go__digit=7__block=-1__phase=practice__practice=1,1399201.673552300,1399201.673811500
dynamic_sart_response_window_close__v=1__trial=-17__condition=go__digit=7__block=-1__phase=practice__practice=1,1399203.023378400,1399203.023570900
dynamic_sart_trial_complete__v=1__trial=-17__condition=go__digit=7__block=-1__phase=practice__practice=1,1399203.023378400,1399203.029922600
dynamic_sart_stimulus_onset__v=1__trial=-18__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399203.410230000,1399203.410587300
dynamic_sart_stimulus_offset__v=1__trial=-18__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399203.656454400,1399203.656784900
dynamic_sart_response_window_close__v=1__trial=-18__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399205.009919300,1399205.010248600
dynamic_sart_trial_complete__v=1__trial=-18__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399205.009919300,1399205.015485400
dynamic_sart_stimulus_onset__v=1__trial=-19__condition=go__digit=8__block=-1__phase=practice__practice=1,1399205.390379800,1399205.390641100
dynamic_sart_stimulus_offset__v=1__trial=-19__condition=go__digit=8__block=-1__phase=practice__practice=1,1399205.648601400,1399205.648954500
dynamic_sart_response_window_close__v=1__trial=-19__condition=go__digit=8__block=-1__phase=practice__practice=1,1399207.010229800,1399207.010526800
dynamic_sart_trial_complete__v=1__trial=-19__condition=go__digit=8__block=-1__phase=practice__practice=1,1399207.010229800,1399207.016685800
dynamic_sart_stimulus_onset__v=1__trial=-20__condition=go__digit=2__block=-1__phase=practice__practice=1,1399207.409964500,1399207.410379000
dynamic_sart_stimulus_offset__v=1__trial=-20__condition=go__digit=2__block=-1__phase=practice__practice=1,1399207.664898200,1399207.665265300
dynamic_sart_response_window_close__v=1__trial=-20__condition=go__digit=2__block=-1__phase=practice__practice=1,1399209.009413400,1399209.009749400
dynamic_sart_trial_complete__v=1__trial=-20__condition=go__digit=2__block=-1__phase=practice__practice=1,1399209.009413400,1399209.016070400
dynamic_sart_stimulus_onset__v=1__trial=-21__condition=go__digit=1__block=-1__phase=practice__practice=1,1399209.409289400,1399209.409764200
dynamic_sart_stimulus_offset__v=1__trial=-21__condition=go__digit=1__block=-1__phase=practice__practice=1,1399209.664789000,1399209.664995500
dynamic_sart_response_window_close__v=1__trial=-21__condition=go__digit=1__block=-1__phase=practice__practice=1,1399211.006327400,1399211.006669300
dynamic_sart_trial_complete__v=1__trial=-21__condition=go__digit=1__block=-1__phase=practice__practice=1,1399211.006327400,1399211.013341200
dynamic_sart_stimulus_onset__v=1__trial=-22__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399211.390265700,1399211.390752900
dynamic_sart_stimulus_offset__v=1__trial=-22__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399211.648240800,1399211.648570500
dynamic_sart_response_window_close__v=1__trial=-22__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399213.009993700,1399213.010282600
dynamic_sart_trial_complete__v=1__trial=-22__condition=no_go__digit=3__block=-1__phase=practice__practice=1,1399213.009993700,1399213.016128000
dynamic_sart_stimulus_onset__v=1__trial=-23__condition=go__digit=6__block=-1__phase=practice__practice=1,1399213.417522700,1399213.417784900
dynamic_sart_stimulus_offset__v=1__trial=-23__condition=go__digit=6__block=-1__phase=practice__practice=1,1399213.665067300,1399213.665390400
dynamic_sart_response_window_close__v=1__trial=-23__condition=go__digit=6__block=-1__phase=practice__practice=1,1399215.007078500,1399215.007557500
dynamic_sart_trial_complete__v=1__trial=-23__condition=go__digit=6__block=-1__phase=practice__practice=1,1399215.007078500,1399215.012942300
dynamic_sart_stimulus_onset__v=1__trial=-24__condition=go__digit=5__block=-1__phase=practice__practice=1,1399215.390532000,1399215.390907900
dynamic_sart_stimulus_offset__v=1__trial=-24__condition=go__digit=5__block=-1__phase=practice__practice=1,1399215.651360200,1399215.651764100
dynamic_sart_response_window_close__v=1__trial=-24__condition=go__digit=5__block=-1__phase=practice__practice=1,1399217.009453900,1399217.009650700
