window_start_lsl_timestamp,window_end_lsl_timestamp,window_mid_lsl_timestamp,window_start_monotonic,window_end_monotonic,window_mid_monotonic,posterior_alpha_power,Fz_alpha_power,Cz_alpha_power,Pz_alpha_power,C3_alpha_power,C4_alpha_power,P3_alpha_power,P4_alpha_power,Oz_alpha_power
503505.151441622,503506.1494416,503505.650441611,503505.686000023,503506.147,503505.91650001146,11.02011972508102,16.35344655377666,13.46745588272746,6.029287426052465,22.32252361873296,14.113794399164174,2.4066319267494785,11.534706107818272,1.9331118856266831
503505.251441599,503506.2494416,503505.7504415995,503505.786,503506.26,503506.02300000004,8.504308155177204,18.000123228592113,9.683567870774406,3.7765734399769286,14.46936278114979,10.47728519520529,2.1222350734957596,7.569091741768616,1.9362259104547355
503505.3514416,503506.3494416,503505.85044159996,503505.758,503506.357,503506.0575,4.6787348130871935,11.415584434634123,3.054897553569825,1.6756283784410742,8.203421378862231,7.45392568628497,1.5768350698679896,2.4373468432756606,1.6122391597616765
503505.4514416,503506.4494416,503505.9504416,503505.73,503506.454,503506.092,3.2187132329559183,6.282004802113371,1.6681120754360925,1.1944420019026565,5.4970404250770315,6.454770211561196,2.0009606149260875,0.9470789592795633,1.7052967733513484
503505.5514416,503506.5494416,503506.05044160003,503505.702,503506.554,503506.128,3.2274045645223843,7.28281311053311,2.9315390809242112,1.2356431153611445,3.844598043757355,5.097543509301884,1.9843331403775397,1.419917509483846,2.0228490064399827
503505.6514416,503506.6494416,503506.1504416,503505.802,503506.651,503506.2265,3.008294093144851,8.960857000793155,2.920256859578094,1.1826086631259716,2.5098671454437302,3.120481656029482,1.5434509265547054,1.4999444928885084,2.328886000745161
503505.7514416,503506.7494416,503506.2504416,503505.774,503506.764,503506.269,3.060339066082346,8.010118628787076,3.2828763554946505,1.606265056186771,2.895714143866134,2.9231027960731675,1.422166837042129,2.0121838763861737,2.3302848348226695
503505.8514416,503506.8494416,503506.35044159996,503505.871,503506.861,503506.366,3.646070670959064,7.9910510923113405,4.210026097641746,2.2865123919934396,4.655085538176008,3.9836877750155066,1.2131511371687143,2.8051711286089844,2.0238802067567727
503505.9514416,503506.9494416,503506.4504416,503505.952,503506.958,503506.45499999996,4.257505048168437,8.653388646306889,5.280486136714083,2.6023527751498765,6.109525196927666,4.6874253753037625,1.4635170593387827,3.5817165879082404,1.6816286076982014
503506.0514416,503507.0494416,503506.55044160003,503506.049,503507.058,503506.55350000004,3.8982199746507145,7.367277926844551,4.793324754230704,2.2325911430602674,5.965004785395127,4.193712305037585,1.8307806665754986,3.3313878593858677,1.4716803566761176
503506.1514416,503507.1494416,503506.6504416,503506.149,503507.139,503506.644,3.141203204596074,5.969119650516155,3.566814690683345,1.725334221313709,4.403147531234556,2.9993970465593573,2.1296725544043227,2.5957388405135884,1.740401101543557
503506.2514416,503507.2494416,503506.7504416,503506.262,503507.267,503506.7645,2.6224436055918314,5.704578504567653,2.804993856010768,1.5132859962278493,2.5627821167122686,1.9317235720560846,2.277301111451913,2.01632005481563,2.168563632892485
503506.3514416,503507.3494416,503506.85044159996,503506.359,503507.364,503506.8615,2.0095487647137804,4.85079074122327,1.8383259794667846,1.3476675787216357,1.3489821298777689,1.2034643383171115,2.061666244052044,1.3343563282920061,2.0911367777596217
503506.4514416,503507.4494416,503506.9504416,503506.456,503507.464,503506.95999999996,1.5876326474555884,4.463262603827557,1.393328845322938,1.0183315800854933,0.7518349423488665,0.7561946360224837,1.7172168858244437,1.0197278036568882,1.5811638825560368
503506.5514416,503507.5494416,503507.05044160003,503506.556,503507.561,503507.0585,1.847681281250447,5.622660170497427,2.2318137450988087,0.9491515235810591,0.7135196244552887,0.8020965223234093,1.6266882989113485,1.5128707096717584,1.322649655464478
503506.6514416,503507.6494416,503507.1504416,503506.653,503507.658,503507.1555,1.9139499311393062,5.154975460634806,2.27276191937758,1.1658966528869374,1.175542058971458,1.1270655817951623,1.4120773686871024,1.7060425487059694,1.2972378580554325
503506.7514416,503507.7494416,503507.2504416,503506.766,503507.755,503507.2605,2.228427441860768,5.114096027343823,2.4684318383755954,1.5991324583541595,1.7137492293461118,1.5491867536443436,1.652035692002112,2.1158482106322083,1.614939325187791
503506.8514416,503507.8494416,503507.35044159996,503506.863,503507.851999667,503507.3574998335,2.503246021905121,5.861917627384222,2.8310134589741054,1.7518944108886936,1.7542186949142977,1.6380890009912408,1.9565947772028753,2.4191919688970476,1.813048235988485
503506.9514416,503507.949441833,503507.4504417165,503506.96,503507.9519999,503507.45599995,1.8799439542110723,4.8266734756079295,1.9941425837353788,1.3017838083567976,1.3123428835823385,1.2276502482017655,1.3936052693163763,1.6814743731381223,1.301878991749871
503507.0514416,503508.049442427,503507.55044201354,503507.06,503508.048999761,503507.5544998805,1.4501946042463492,3.577133071237805,1.3277699804183316,1.0960827246014104,1.1751249653677807,1.138108941378269,1.1604958121231452,1.1055321374397924,1.0213092014042586
503507.1514416,503508.149442953,503507.6504422765,503507.141,503508.161999659,503507.6514998295,2.3766798999027614,4.675721314188123,2.3794762079278673,1.8522368933558884,1.8245437100731428,1.9371792635798948,2.3997721965300105,2.0225786995201407,1.9219309140470244
503507.2514416,503508.24944342,503507.75044251,503507.269,503508.258999585,503507.7639997925,3.6081319759760313,6.372730873510306,3.7610895701551277,2.860239894796634,2.722268297752676,2.905932074315661,3.8196397853462267,3.3225509356141467,3.100604376317472
503507.3514416,503508.349443835,503507.8504427175,503507.366,503508.359,503507.8625,3.8878362313164123,6.377305982335604,3.9496762077442362,3.2460493367866183,3.119576009195798,3.23956745395294,4.076888550560518,3.6431074369030814,3.4505188730525056
503507.4514416,503508.449444206,503507.950442903,503507.466,503508.455999903,503507.96099995147,3.696197043536074,6.0224177792641065,3.617016816935071,3.2325331087121283,2.9780969479244113,3.128795437795082,3.809876243463258,3.441860359587875,3.338979654606662
503507.5514416,503508.549444537,503508.0504430685,503507.563,503508.56899983,503508.065999915,3.8729927400894946,6.74988612356387,3.80787009593739,3.3486817298446754,3.015708505819548,3.2307432941704612,3.800426148740894,3.654348068560375,3.3762779540787404
503507.6514416,503508.649444834,503508.150443217,503507.66,503508.649999774,503508.154999887,4.614660308047641,8.046273186323427,4.619125387015744,3.6449002571124174,4.577655146293718,4.204210822632162,3.855658955672027,4.592554154304609,3.376904555027024
503507.7514416,503508.749445101,503508.2504433505,503507.757,503508.762999733,503508.2599998665,4.8828734587618765,6.740069474594278,4.535648282453772,3.533653532630084,8.036320605523004,5.7251240974614745,3.0047023501677406,4.837423209432988,2.650046117831675
503507.8514416,503508.849445341,503508.3504434705,503507.853999667,503508.862999973,503508.35849982,4.613853954344426,4.777513709271089,3.9622397809057226,2.9007220780628016,10.98173827276883,6.689053141109532,1.6490449496114947,4.477551194887603,1.4729685081383308
503507.951441845,503508.949445558,503508.45044370147,503507.953999912,503508.943999919,503508.4489999155,4.303923397378657,5.223828468724416,3.8360817377196583,2.218763816209599,10.697551542243207,6.262168406450426,0.9969339016509642,4.419321409089701,0.7767378969412844
503508.051442438,503509.049445753,503508.5504440955,503508.050999772,503509.056999878,503508.55399982503,3.0980370273551197,4.576950072795552,2.737895575956271,1.42064373422282,7.369453188853386,4.297271797752676,0.6365967244277235,3.248366514121084,0.49711861071144425
503508.151442963,503509.14944593,503508.6504444465,503508.163999668,503509.153999846,503508.658999757,1.4927065093941514,2.4882399100488537,1.0846727774728777,0.6955525835827705,3.5295331773887644,1.9725241034162786,0.41654117986398087,1.292182490947103,0.4624058524325815
503508.251443428,503509.249446091,503508.7504447595,503508.260999593,503509.250999822,503508.7559997075,1.2140182896263738,2.6868308518490904,0.8718059079607312,0.7794776491808013,1.4663997011367815,0.9411997649153055,1.0578338163472107,0.922473591658782,0.9861250339622869
503508.351443843,503509.349446236,503508.85044503945,503508.357999541,503509.350999967,503508.85449975403,1.875500503022996,4.248222077082195,1.5776277530211,1.4035019677501765,1.1932611235641044,1.103101215196621,2.043867448962106,1.7320998673929833,1.702322571214683
503508.451444212,503509.449446368,503508.95044528996,503508.45799991,503509.447999936,503508.952999923,2.0292947307891387,4.299124178573925,1.7389512037159813,1.6424441663048923,1.247708102618097,1.2177676912297803,2.337664339905509,1.8317242983927908,1.9189738655721351
503508.551444543,503509.549446488,503509.0504455155,503508.570999836,503509.544999912,503509.057999874,1.7821240339067055,3.8450390983167586,1.5797918736760321,1.432938205526522,1.062169662971435,1.0964838431489576,2.0077371712658323,1.5994640736722683,1.6333683426758392
