trial,label,event_type,timestamp,value,metadata
1,go_nogo_stimulus_offset_1_go_star_green,EVENT,504824.062,,"{""color"": ""green"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504824.0881748, ""expected_visual_onset_monotonic"": 504824.062, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504824.0881748, ""flip_monotonic"": 504824.062, ""is_no_go"": false, ""lsl_timestamp"": 504824.0881748, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""star"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
1,go_nogo_trial_complete,EVENT,504824.062,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 0, ""commission_error"": 0, ""condition"": ""go"", ""correct"": false, ""correct_press"": 0, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": false, ""omission_error"": 1, ""practice"": false, ""reaction_time_seconds"": null, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-online\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T131407"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504824.0881748, ""stimulus_offset_monotonic"": 504824.062, ""stimulus_onset_lsl_timestamp"": 504823.2698875, ""stimulus_onset_monotonic"": 504823.234, ""task"": ""go_nogo""}"
2,go_nogo_stimulus_onset_2_go_star_yellow,EVENT,504824.781,,"{""color"": ""yellow"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504824.8097593, ""expected_visual_onset_monotonic"": 504824.781, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504824.8097593, ""flip_monotonic"": 504824.781, ""is_no_go"": false, ""lsl_timestamp"": 504824.8097593, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""star"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
2,button_press,EVENT,504825.39157910005,space,"{""is_response_key"": true, ""lsl_timestamp"": 504825.42033840006, ""marker_push_latency_ms"": 0.0, ""rt_from_flip_seconds"": 0.6105791000300087, ""rt_seconds"": 0.6105791000300087}"
2,go_nogo_stimulus_offset_2_go_star_yellow,EVENT,504825.593,,"{""color"": ""yellow"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504825.6198816, ""expected_visual_onset_monotonic"": 504825.593, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504825.6198816, ""flip_monotonic"": 504825.593, ""is_no_go"": false, ""lsl_timestamp"": 504825.6198816, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""star"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
2,go_nogo_trial_complete,EVENT,504825.593,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 1, ""commission_error"": 0, ""condition"": ""go"", ""correct"": true, ""correct_press"": 1, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": false, ""omission_error"": 0, ""practice"": false, ""reaction_time_seconds"": 0.6105791000300087, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-online\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T131407"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504825.6198816, ""stimulus_offset_monotonic"": 504825.593, ""stimulus_onset_lsl_timestamp"": 504824.8097593, ""stimulus_onset_monotonic"": 504824.781, ""task"": ""go_nogo""}"
3,go_nogo_stimulus_onset_3_go_circle_green,EVENT,504826.343,,"{""color"": ""green"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504826.3656873, ""expected_visual_onset_monotonic"": 504826.343, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504826.3656873, ""flip_monotonic"": 504826.343, ""is_no_go"": false, ""lsl_timestamp"": 504826.3656873, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""circle"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
3,button_press,EVENT,504826.7516329,space,"{""is_response_key"": true, ""lsl_timestamp"": 504826.77432019997, ""marker_push_latency_ms"": 0.0, ""rt_from_flip_seconds"": 0.40863289998378605, ""rt_seconds"": 0.40863289998378605}"
3,go_nogo_stimulus_offset_3_go_circle_green,EVENT,504827.14,,"{""color"": ""green"", ""expected_frame_interval_ms"": 16.60961000015959, ""expected_refresh_rate_hz"": 60.0, ""expected_visual_onset_lsl_timestamp"": 504827.1737574, ""expected_visual_onset_monotonic"": 504827.14, ""expected_visual_onset_uncertainty_ms"": 8.304805000079796, ""fixed_display_latency_ms"": 0.0, ""flip_lsl_timestamp"": 504827.1737574, ""flip_monotonic"": 504827.14, ""is_no_go"": false, ""lsl_timestamp"": 504827.1737574, ""marker_push_latency_ms"": 0.0, ""measured_refresh_rate_hz"": 60.20610959501106, ""photodiode_verification_enabled"": false, ""scheduled_on_flip"": true, ""shape"": ""circle"", ""timing_model"": ""psychopy_callOnFlip_plus_fixed_display_latency""}"
3,go_nogo_trial_complete,EVENT,504827.156,,"{""attention_challenge"": {""enabled"": false, ""expected_state"": ""normal"", ""is_cue_trial"": false}, ""button_press_count"": 1, ""commission_error"": 0, ""condition"": ""go"", ""correct"": true, ""correct_press"": 1, ""event_type_name"": ""go_nogo_trial_complete"", ""is_no_go"": false, ""omission_error"": 0, ""practice"": false, ""reaction_time_seconds"": 0.40863289998378605, ""schema_version"": 1, ""session_dir"": ""C:\\Users\\Surettej\\Documents\\Codespace\\eegle\\data\\participants\\sub-001-online\\sessions\\2026-07-14\\attention_lapse_go_nogo8_observe_only\\go_nogo\\run-20260714T131407"", ""source"": ""task.go_nogo"", ""stimulus_offset_lsl_timestamp"": 504827.1737574, ""stimulus_offset_monotonic"": 504827.14, ""stimulus_onset_lsl_timestamp"": 504826.3656873, ""stimulus_onset_monotonic"": 504826.343, ""task"": ""go_nogo""}"
