trial,label,event_type,timestamp,value,metadata
,dsart_baseline_eyes_open_start,SYSTEM,1399096.109,,"{""lsl_timestamp"": 1399096.3066652, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-study1_baseline-run-20260820T161321-97ed6862a629"", ""marker_stream_type"": ""Markers"", ""phase"": ""eyes_open"", ""scheduled_on_flip"": true, ""task"": ""dsart_baseline""}"
,dsart_baseline_eyes_open_end,SYSTEM,1399106.109,,"{""aborted"": false, ""lsl_timestamp"": 1399106.3016951, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-study1_baseline-run-20260820T161321-97ed6862a629"", ""marker_stream_type"": ""Markers"", ""phase"": ""eyes_open"", ""task"": ""dsart_baseline""}"
,dsart_baseline_eyes_closed_start,SYSTEM,1399106.921,,"{""lsl_timestamp"": 1399107.1181415, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-study1_baseline-run-20260820T161321-97ed6862a629"", ""marker_stream_type"": ""Markers"", ""phase"": ""eyes_closed"", ""scheduled_on_flip"": true, ""task"": ""dsart_baseline""}"
,dsart_baseline_eyes_closed_end,SYSTEM,1399116.921,,"{""aborted"": false, ""lsl_timestamp"": 1399117.1122791, ""marker_emit_attempted"": true, ""marker_stream_name"": ""EEGleMarkers"", ""marker_stream_source_id"": ""eegle-markers-study1_baseline-run-20260820T161321-97ed6862a629"", ""marker_stream_type"": ""Markers"", ""phase"": ""eyes_closed"", ""task"": ""dsart_baseline""}"
