marker_label,lsl_timestamp,local_received_lsl_timestamp
dynamic_sart_trial_complete__v=1__trial=-12__condition=go__digit=8__block=-1__phase=practice__practice=1,6172.484009900,6172.490082600
dynamic_sart_practice_end,6172.890767900,6172.890978000
dynamic_sart_practice_ready_start,6172.896691300,6172.896979400
dynamic_sart_practice_ready_end,6173.669824900,6173.670008800
dynamic_sart_countdown_start,6173.692153400,6173.692375300
dynamic_sart_countdown_step__step=1__value=5,6173.714828900,6173.715276600
dynamic_sart_countdown_step__step=2__value=4,6174.748014400,6174.748332800
dynamic_sart_countdown_step__step=3__value=3,6175.773491900,6175.773785400
dynamic_sart_countdown_step__step=4__value=2,6176.798844900,6176.799107200
dynamic_sart_countdown_step__step=5__value=1,6177.823302400,6177.823834100
dynamic_sart_countdown_step__step=6__value=GO,6178.856496000,6178.856764800
dynamic_sart_countdown_end,6179.866166100,6179.866383500
dynamic_sart_block_start__block=1__phase=support,6179.877563300,6179.878101900
dynamic_sart_stimulus_onset__v=1__trial=1__condition=go__digit=8__block=1__phase=support__practice=0,6179.898933400,6179.899271200
dynamic_sart_stimulus_offset__v=1__trial=1__condition=go__digit=8__block=1__phase=support__practice=0,6180.148083600,6180.148656400
dynamic_sart_response_window_close__v=1__trial=1__condition=go__digit=8__block=1__phase=support__practice=0,6181.498868900,6181.499228000
dynamic_sart_stimulus_onset__v=1__trial=2__condition=go__digit=0__block=1__phase=support__practice=0,6181.498916500,6181.499817800
dynamic_sart_trial_complete__v=1__trial=1__condition=go__digit=8__block=1__phase=support__practice=0,6181.498868900,6181.504243800
dynamic_sart_stimulus_offset__v=1__trial=2__condition=go__digit=0__block=1__phase=support__practice=0,6181.756480600,6181.756980200
dynamic_sart_response_window_close__v=1__trial=2__condition=go__digit=0__block=1__phase=support__practice=0,6183.097939400,6183.098217600
dynamic_sart_stimulus_onset__v=1__trial=3__condition=go__digit=9__block=1__phase=support__practice=0,6183.097974700,6183.098397600
dynamic_sart_trial_complete__v=1__trial=2__condition=go__digit=0__block=1__phase=support__practice=0,6183.097939400,6183.104344000
dynamic_sart_stimulus_offset__v=1__trial=3__condition=go__digit=9__block=1__phase=support__practice=0,6183.348052400,6183.348533300
dynamic_sart_response_window_close__v=1__trial=3__condition=go__digit=9__block=1__phase=support__practice=0,6184.698054400,6184.698466700
dynamic_sart_stimulus_onset__v=1__trial=4__condition=go__digit=5__block=1__phase=support__practice=0,6184.698090700,6184.698652000
dynamic_sart_trial_complete__v=1__trial=3__condition=go__digit=9__block=1__phase=support__practice=0,6184.698054400,6184.704284000
dynamic_sart_stimulus_offset__v=1__trial=4__condition=go__digit=5__block=1__phase=support__practice=0,6184.948021600,6184.948544700
dynamic_sart_response_window_close__v=1__trial=4__condition=go__digit=5__block=1__phase=support__practice=0,6186.300180100,6186.300466700
